
Name                                     DisplayName                                                                        State   StartType DelayedAutoSta
ScDeviceEnum                             Smart Card Device Enumeration Service                                              Stopped Manual             False
SCPolicySvc                              Smart Card Removal Policy                                                          Stopped Manual             False
SNMPTrap                                 SNMP Trap                                                                          Stopped Manual             False
sppsvc                                   Software Protection                                                                Stopped Auto                True
SharedRealitySvc                         Spatial Data Service                                                               Stopped Manual             False
svsvc                                    Spot Verifier                                                                      Stopped Manual             False
SSDPSRV                                  SSDP Discovery                                                                     Running Manual             False
StateRepository                          State Repository Service                                                           Running Auto               False
WiaRpc                                   Still Image Acquisition Events                                                     Stopped Manual             False
StorSvc                                  Storage Service                                                                    Running Auto                True
TieringEngineService                     Storage Tiers Management                                                           Stopped Manual             False
OneSyncSvc_5a94f                         Sync Host_5a94f                                                                    Running Auto                True
SysMain                                  SysMain                                                                            Running Auto               False
SENS                                     System Event Notification Service                                                  Running Auto               False
SystemEventsBroker                       System Events Broker                                                               Running Auto               False
SgrmBroker                               System Guard Runtime Monitor Broker                                                Running Auto                True
Schedule                                 Task Scheduler                                                                     Running Auto               False
lmhosts                                  TCP/IP NetBIOS Helper                                                              Running Manual             False
TapiSrv                                  Telephony                                                                          Stopped Manual             False
TextInputManagementService               Text Input Management Service                                                      Running Auto               False
Themes                                   Themes                                                                             Running Auto               False
TimeBrokerSvc                            Time Broker                                                                        Running Manual             False
UdkUserSvc_5a94f                         Udk User Service_5a94f                                                             Running Manual             False
UsoSvc                                   Update Orchestrator Service                                                        Running Auto                True
upnphost                                 UPnP Device Host                                                                   Stopped Manual             False
UserDataSvc_5a94f                        User Data Access_5a94f                                                             Running Manual             False
UnistoreSvc_5a94f                        User Data Storage_5a94f                                                            Running Manual             False
UevAgentService                          User Experience Virtualization Service                                             Stopped Disabled           False
UserManager                              User Manager                                                                       Running Auto               False
ProfSvc                                  User Profile Service                                                               Running Auto               False
vds                                      Virtual Disk                                                                       Stopped Manual             False
VSS                                      Volume Shadow Copy                                                                 Stopped Manual             False
VacSvc                                   Volumetric Audio Compositor Service                                                Stopped Manual             False
WaaSMedicSvc                             WaaSMedicSvc                                                                       Stopped Manual             False
WalletService                            WalletService                                                                      Stopped Manual             False
WarpJITSvc                               Warp JIT Service                                                                   Stopped Manual             False
TokenBroker                              Web Account Manager                                                                Running Manual             False
webthreatdefsvc                          Web Threat Defense Service                                                         Running Manual             False
webthreatdefusersvc_5a94f                Web Threat Defense User Service_5a94f                                              Running Auto               False
WebClient                                WebClient                                                                          Stopped Manual             False
WFDSConMgrSvc                            Wi-Fi Direct Services Connection Manager Service                                   Stopped Manual             False
Audiosrv                                 Windows Audio                                                                      Running Auto               False
AudioEndpointBuilder                     Windows Audio Endpoint Builder                                                     Running Auto               False
SDRSVC                                   Windows Backup                                                                     Stopped Manual             False
WbioSrvc                                 Windows Biometric Service                                                          Stopped Manual             False
FrameServer                              Windows Camera Frame Server                                                        Stopped Manual             False
FrameServerMonitor                       Windows Camera Frame Server Monitor                                                Stopped Manual             False
wcncsvc                                  Windows Connect Now - Config Registrar                                             Stopped Manual             False
Wcmsvc                                   Windows Connection Manager                                                         Running Auto               False
Sense                                    Windows Defender Advanced Threat Protection Service                                Stopped Manual             False
mpssvc                                   Windows Defender Firewall                                                          Running Auto               False
WEPHOSTSVC                               Windows Encryption Provider Host Service                                           Stopped Manual             False
WerSvc                                   Windows Error Reporting Service                                                    Stopped Manual             False
Wecsvc                                   Windows Event Collector                                                            Stopped Manual             False
EventLog                                 Windows Event Log                                                                  Running Auto               False
FontCache                                Windows Font Cache Service                                                         Running Auto               False
StiSvc                                   Windows Image Acquisition (WIA)                                                    Stopped Manual             False
wisvc                                    Windows Insider Service                                                            Stopped Manual             False
msiserver                                Windows Installer                                                                  Stopped Manual             False
LicenseManager                           Windows License Manager Service                                                    Running Manual             False
Winmgmt                                  Windows Management Instrumentation                                                 Running Auto               False
WManSvc                                  Windows Management Service                                                         Stopped Manual             False
WMPNetworkSvc                            Windows Media Player Network Sharing Service                                       Stopped Manual             False
MixedRealityOpenXRSvc                    Windows Mixed Reality OpenXR Service                                               Stopped Manual             False
icssvc                                   Windows Mobile Hotspot Service                                                     Stopped Manual             False
TrustedInstaller                         Windows Modules Installer                                                          Stopped Manual             False
spectrum                                 Windows Perception Service                                                         Stopped Manual             False
perceptionsimulation                     Windows Perception Simulation Service                                              Stopped Manual             False
WpnService                               Windows Push Notifications System Service                                          Running Auto               False
WpnUserService_5a94f                     Windows Push Notifications User Service_5a94f                                      Running Auto               False
PushToInstall                            Windows PushToInstall Service                                                      Stopped Manual             False
WinRM                                    Windows Remote Management (WS-Management)                                          Stopped Manual              True
WSearch                                  Windows Search                                                                     Running Auto                True
SecurityHealthService                    Windows Security Service                                                           Running Manual             False
W32Time                                  Windows Time                                                                       Stopped Manual             False
wuauserv                                 Windows Update                                                                     Stopped Manual             False
WinHttpAutoProxySvc                      WinHTTP Web Proxy Auto-Discovery Service                                           Running Manual             False
dot3svc                                  Wired AutoConfig                                                                   Stopped Manual             False
WlanSvc                                  WLAN AutoConfig                                                                    Stopped Manual             False
wmiApSrv                                 WMI Performance Adapter                                                            Stopped Manual             False
workfolderssvc                           Work Folders                                                                       Stopped Manual             False
LanmanWorkstation                        Workstation                                                                        Running Auto               False
WwanSvc                                  WWAN AutoConfig                                                                    Stopped Manual             False
XboxGipSvc                               Xbox Accessory Management Service                                                  Stopped Manual             False
XblAuthManager                           Xbox Live Auth Manager                                                             Stopped Manual             False
XblGameSave                              Xbox Live Game Save                                                                Stopped Manual             False
XboxNetApiSvc                            Xbox Live Networking Service                                                       Stopped Manual             False
